"","Easting","Northing","Purprice","BldIntWr","BldPostW","Bld60s","Bld70s","Bld80s","TypDetch","TypSemiD","TypFlat","GarSingl","GarDoubl","Tenfree","CenHeat","BathTwo","BedTwo","BedThree","BedFour","BedFive","NewPropD","FlorArea","NoCarHh","CarspP","ProfPct","UnskPct","RetiPct","Saleunem","Unemploy","PopnDnsy"
"53",545500,173000,85000,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,76.1614623,50.2793,25.2451,0,11.1111,88.8889,19.2308,85.53494,11.48515
"73",525000,177800,71000,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,98.452621998,14.6342,46.8865,6.25,0,12.5,5.3571,32.82623,8.29268
"78",531100,183400,60000,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,124.73761447,36.4162,37.8049,0,11.1111,77.7778,5.2632,31.61733,7.81671
"95",538500,169400,64000,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,127,17.8082,47.5936,0,0,75,8.8235,0.12889,18.18182
"125",534000,168400,260000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,190.40365575,7.4074,67.6966,9.0909,0,36.3636,3.6765,21.88766,8.22222
"153",528700,168800,48500,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,87,14.0187,49.5512,16.6667,8.3333,50,3.0769,31.60242,3.75235
"182",534900,187000,34500,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,107.27620604,48.8688,30.8889,0,0,77.7778,9.7458,33.93309,21.40763
"189",537700,169700,55995,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,63,37.5661,36.933,0,0,88.8889,9.9548,69.0862,19.01639
"203",534700,171600,45000,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,83.963368194,35.7143,31.8015,0,0,30,14.717,3.40077,3.90244
"207",514400,188600,60000,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,84.520647187,28.3019,38.0488,12.5,0,50,12.9707,9.98705,8.29346
"215",513100,177000,59500,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,104.58269091,22.5806,47.5177,0,0,50,13.6364,64.13242,9.07372
"219",527200,184400,45500,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,96,7.2398,45.3055,11.1111,0,11.1111,4.8295,3.07619,10.68376
"233",534300,192500,55000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,43,19.917,44.7531,16.6667,0,83.3333,6.4309,46.6611,10.98266
